,Unnamed: 0,nature,type,id,description,cwe_counts,cwe_id,repos
16,16,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
17,17,ParentOf,variant,129,Improper Validation of Array Index,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
18,18,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
19,19,MemberOf,category,1019,Validate Inputs,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
20,20,ParentOf,base,15,External Control of System or Configuration Setting,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
21,21,ParentOf,base,73,External Control of File Name or Path,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
22,22,ParentOf,variant,102,Struts: Duplicate Validation Forms,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
23,23,ParentOf,variant,103,Struts: Incomplete validate() Method Definition,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
24,24,ParentOf,variant,104,Struts: Form Bean Does Not Extend Validation Class,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
25,25,ParentOf,variant,105,Struts: Form Field Without Validator,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
26,26,ParentOf,variant,106,Struts: Plug-in Framework not in Use,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
27,27,ParentOf,variant,107,Struts: Unused Validation Form,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
28,28,ParentOf,variant,108,Struts: Unvalidated Action Form,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
29,29,ParentOf,variant,109,Struts: Validator Turned Off,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
30,30,ParentOf,variant,110,Struts: Validator Without Form Field,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
31,31,ParentOf,variant,111,Direct Use of Unsafe JNI,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
32,32,ParentOf,base,112,Missing XML Validation,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
33,33,ParentOf,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
34,34,ParentOf,class,114,Process Control,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
35,35,ParentOf,base,117,Improper Output Neutralization for Logs,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
36,36,ParentOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
37,37,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
38,38,ParentOf,base,134,Use of Externally-Controlled Format String,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
39,39,ParentOf,base,170,Improper Null Termination,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
40,40,ParentOf,base,190,Integer Overflow or Wraparound,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
41,41,ParentOf,base,466,Return of Pointer Value Outside of Expected Range,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
42,42,ParentOf,base,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
43,43,ParentOf,variant,785,Use of Path Manipulation Function without Maximum-sized Buffer,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
44,44,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
45,45,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
46,46,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
47,47,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
48,48,MemberOf,category,746,CERT C Secure Coding Standard (2008) Chapter 13 - Error Handling (ERR),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
49,49,MemberOf,category,747,CERT C Secure Coding Standard (2008) Chapter 14 - Miscellaneous (MSC),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
50,50,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
51,51,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
52,52,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
53,53,MemberOf,category,883,CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
54,54,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
55,55,MemberOf,category,1005,7PK - Input Validation and Representation,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
56,56,MemberOf,category,1163,SEI CERT C Coding Standard - Guidelines 09. Input Output (FIO),4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
57,57,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
58,58,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
59,59,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,4,20,"['danswerai', 'DIGITS', 'open-webui', 'fastapi', 'bokeh', 'nalp', 'spammy', 'ViZDoom', 'langflow', 'PySyft', 'numpy', 'lightly', 'retro', 'ray', 'pydantic', 'pytensor', 'mlflow', 'pytorch', 'streamlit', 'feast', 'rasa', 'mindsdb', 'superset', 'gradio', 'transformers', 'pattern', 'AutoViz', 'Auto_ViML']"
