repo,in_scope,top_language,semgrep_ran,semgrep_status,semgrep_date,semgrep_run_url,reason
cleanlab,yes,Python,yes,success,2026-08-15T10:44:01Z,,ok
climin,yes,Python,yes,success,2026-08-14T22:17:30Z,,ok
cltk,yes,Python,yes,success,2026-08-15T11:01:40Z,,ok
colibri-core,yes,C++,yes,success,2026-08-14T22:23:31Z,,ok
comet-llm,yes,Python,yes,success,2026-08-14T16:37:50Z,,ok
convnet-benchmarks,yes,Python,yes,success,2026-08-14T22:19:28Z,,ok
cornac,yes,Python,yes,success,2026-08-15T10:20:37Z,,ok
couler,yes,Python,yes,success,2026-08-14T22:28:57Z,,ok
crab,yes,Python,yes,success,2026-08-14T16:19:51Z,,ok
d3py,yes,Python,yes,success,2026-08-14T22:31:33Z,,ok
danswerai,yes,Python,yes,success,2026-08-15T11:29:16Z,,ok
dash,yes,Python,yes,success,2026-08-15T09:27:47Z,,ok
datacompy,yes,Python,yes,success,2026-08-14T22:19:25Z,,ok
deap,yes,Python,yes,success,2026-08-14T22:18:56Z,,ok
dedupe,yes,Python,yes,success,2026-08-14T22:18:15Z,,ok
deep-learning-project-template,yes,Python,yes,success,2026-08-14T16:43:38Z,,ok
deepchecks,yes,Python,yes,success,2026-08-14T22:27:06Z,,ok
deepface,yes,Python,yes,success,2026-08-14T16:39:16Z,,ok
deeplake,yes,C++,yes,success,2026-08-14T22:31:21Z,,ok
deeppy,yes,Python,yes,success,2026-08-14T22:16:36Z,,ok
detecto,yes,Python,yes,success,2026-08-14T16:14:56Z,,ok
detectron2,yes,Python,yes,success,2026-08-15T09:01:41Z,,ok
determined,yes,Go,yes,success,2026-08-15T10:12:29Z,,ok
dirty_cat,yes,Python,yes,success,2026-08-15T09:03:37Z,,ok
distance,yes,C,yes,success,2026-08-14T22:20:33Z,,ok
dl-translate,yes,Python,yes,success,2026-08-14T22:21:22Z,,ok
dora,yes,Python,yes,success,2026-08-14T22:24:24Z,,ok
dowel,yes,Python,yes,success,2026-08-14T16:22:38Z,,ok
dtaidistance,yes,Python,yes,success,2026-08-14T16:35:52Z,,ok
einops,yes,Python,yes,success,2026-08-14T16:11:20Z,,ok
emcee,yes,Python,yes,success,2026-08-14T22:15:32Z,,ok
eurybia,yes,Python,yes,success,2026-08-14T16:28:10Z,,ok
evidently,yes,Python,yes,success,2026-08-15T10:09:35Z,,ok
evostra,yes,Python,yes,success,2026-08-14T22:25:25Z,,ok
face_recognition,yes,Python,yes,success,2026-08-15T09:02:51Z,,ok
fastapi,yes,Python,yes,success,2026-08-15T11:17:49Z,,ok
feast,yes,Python,yes,success,2026-08-14T22:29:09Z,,ok
featureforge,yes,Python,yes,success,2026-08-15T10:52:21Z,,ok
frouros,yes,Python,yes,success,2026-08-14T22:19:28Z,,ok
gan,yes,Python,yes,success,2026-08-14T16:26:54Z,,ok
garage,yes,Python,yes,success,2026-08-14T16:39:49Z,,ok
gensim,yes,Python,yes,success,2026-08-15T10:31:56Z,,ok
ggpy,yes,Python,yes,success,2026-08-14T22:31:04Z,,ok
gradio,yes,Python,yes,success,2026-08-15T11:07:01Z,,ok
gym,yes,Python,yes,success,2026-08-14T22:32:46Z,,ok
haystack,yes,Python,yes,success,2026-08-14T22:18:02Z,,ok
hdbscan,yes,Python,yes,success,2026-08-14T22:32:41Z,,ok
hebel,yes,Python,yes,success,2026-08-14T22:21:38Z,,ok
hyperopt-sklearn,yes,Python,yes,success,2026-08-14T22:31:49Z,,ok
igel,yes,Python,yes,success,2026-08-15T09:58:42Z,,ok
imbalanced-ensemble,yes,Python,yes,success,2026-08-14T22:24:53Z,,ok
imutils,yes,Python,yes,success,2026-08-14T22:18:31Z,,ok
ipychart,yes,Python,yes,success,2026-08-14T22:22:42Z,,ok
jProcessing,yes,Gnuplot,yes,success,2026-08-14T16:29:57Z,,ok
jax,yes,Python,yes,success,2026-08-14T22:24:57Z,,ok
jellyfish,yes,Python,yes,success,2026-08-15T13:38:39Z,,ok
jieba,yes,Python,yes,success,2026-08-14T22:22:19Z,,ok
joliGEN,yes,Python,yes,success,2026-08-15T10:24:11Z,,ok
karateclub,yes,Python,yes,success,2026-08-14T22:29:24Z,,ok
keras,yes,Python,yes,success,2026-08-14T17:59:49Z,,ok
keras-tuner,yes,Python,yes,success,2026-08-14T22:25:47Z,,ok
lambdo,yes,Python,yes,success,2026-08-14T22:28:57Z,,ok
langflow,yes,Python,yes,success,2026-08-15T11:22:05Z,,ok
learnergy,yes,Python,yes,success,2026-08-14T22:20:07Z,,ok
lifelines,yes,Python,yes,success,2026-08-14T22:25:59Z,,ok
lightly,yes,Python,yes,success,2026-08-14T22:18:28Z,,ok
lightning-bolts,yes,Python,yes,success,2026-08-15T11:19:55Z,,ok
lightwood,yes,Python,yes,success,2026-08-15T10:30:23Z,,ok
lime,yes,JavaScript,yes,success,2026-08-14T16:50:48Z,,ok
litellm,yes,Python,yes,success,2026-08-15T10:04:55Z,,ok
littleballoffur,yes,Python,yes,success,2026-08-14T22:24:16Z,,ok
loso,yes,Python,yes,success,2026-08-14T22:19:45Z,,ok
lucent,yes,Python,yes,success,2026-08-15T10:52:25Z,,ok
machine-learning,yes,JavaScript,yes,success,2026-08-14T22:29:31Z,,ok
mars,yes,Python,yes,success,2026-08-15T11:23:41Z,,ok
matplotlib,yes,Python,yes,success,2026-08-15T10:20:57Z,,ok
maze,yes,Python,yes,success,2026-08-14T22:25:01Z,,ok
metric-learn,yes,Python,yes,success,2026-08-14T16:38:01Z,,ok
mindsdb,yes,Makefile,yes,success,2026-08-14T19:36:42Z,,ok
minigrad,yes,Python,yes,success,2026-08-14T22:24:32Z,,ok
miraiml,yes,Python,yes,success,2026-08-14T22:14:49Z,,ok
mlens,yes,Python,yes,success,2026-08-14T22:32:47Z,,ok
mlflow,yes,Python,yes,success,2026-08-14T17:15:26Z,,ok
mljar-supervised,yes,Python,yes,success,2026-08-14T16:28:42Z,,ok
mlx,yes,C++,yes,success,2026-08-14T22:15:06Z,,ok
mlxtend,yes,Python,yes,success,2026-08-14T22:32:46Z,,ok
modAL,yes,Python,yes,success,2026-08-14T22:27:56Z,,ok
nalp,yes,Python,yes,success,2026-08-14T16:48:24Z,,ok
neofuzz,yes,Python,yes,success,2026-08-14T22:20:41Z,,ok
neural-style-pt,yes,Python,yes,success,2026-08-14T16:51:42Z,,ok
neuraltalk,yes,Python,yes,success,2026-08-14T16:30:18Z,,ok
neuraltalk2,yes,Python,yes,success,2026-08-14T22:17:44Z,,ok
neurolab,yes,Python,yes,success,2026-08-14T16:20:14Z,,ok
neuropredict,yes,Python,yes,success,2026-08-14T16:40:00Z,,ok
nilearn,yes,Python,yes,success,2026-08-14T22:18:18Z,,ok
nn_builder,yes,Python,yes,success,2026-08-14T22:31:06Z,,ok
notebook,yes,Python,yes,success,2026-08-15T10:52:41Z,,ok
numpy,yes,Python,yes,success,2026-08-14T22:28:40Z,,ok
numpy-ml,yes,Python,yes,success,2026-08-14T22:23:24Z,,ok
nupic.studio,yes,Python,yes,success,2026-08-14T22:15:50Z,,ok
nut,yes,Python,yes,success,2026-08-14T22:20:38Z,,ok
open-metric-learning,yes,Python,yes,success,2026-08-14T16:57:11Z,,ok
open-webui,yes,Python,yes,success,2026-08-15T10:14:36Z,,ok
opfython,yes,Python,yes,success,2026-08-14T16:50:59Z,,ok
optuna,yes,Python,yes,success,2026-08-14T22:21:35Z,,ok
opytimizer,yes,Python,yes,success,2026-08-14T22:19:50Z,,ok
pandas,yes,Python,yes,success,2026-08-14T16:23:11Z,,ok
paramonte,yes,Fortran,yes,success,2026-08-15T12:13:40Z,,ok
pastalog,yes,JavaScript,yes,success,2026-08-14T22:14:49Z,,ok
pattern,yes,Python,yes,success,2026-08-14T22:15:22Z,,ok
pebl,yes,Python,yes,success,2026-08-14T22:32:37Z,,ok
pgmpy,yes,Python,yes,success,2026-08-14T22:15:27Z,,ok
pix2pix-keras,yes,Python,yes,success,2026-08-14T16:32:18Z,,ok
pkuseg-python,yes,Python,yes,success,2026-08-14T22:19:51Z,,ok
polyglot,yes,Python,yes,success,2026-08-14T22:16:26Z,,ok
pomegranate,yes,Python,yes,success,2026-08-14T22:32:33Z,,ok
prodmodel,yes,Python,yes,success,2026-08-14T16:37:08Z,,ok
pybrain,yes,Python,yes,success,2026-08-14T22:18:32Z,,ok
pybroker,yes,Python,yes,success,2026-08-14T22:19:59Z,,ok
pycm,yes,Python,yes,success,2026-08-14T16:51:20Z,,ok
pydantic,yes,Python,yes,success,2026-08-14T22:16:11Z,,ok
pydexter,yes,Python,yes,success,2026-08-14T22:16:58Z,,ok
pyhsmm,yes,Python,yes,success,2026-08-14T22:19:59Z,,ok
pymc,yes,Python,yes,success,2026-08-14T22:31:05Z,,ok
pynlpl,yes,Python,yes,success,2026-08-14T22:27:49Z,,ok
pyod,yes,Python,yes,success,2026-08-14T16:35:20Z,,ok
pyqtgraph,yes,Python,yes,success,2026-08-14T22:15:24Z,,ok
pyss3,yes,Python,yes,success,2026-08-14T22:14:02Z,,ok
pytensor,yes,Python,yes,success,2026-08-14T22:30:35Z,,ok
pytesseract,yes,Python,yes,success,2026-08-14T22:16:53Z,,ok
python-frog,yes,Cython,yes,success,2026-08-14T16:13:38Z,,ok
python-neuron,yes,Python,yes,success,2026-08-14T22:22:55Z,,ok
python-recsys,yes,Python,yes,success,2026-08-14T22:32:47Z,,ok
python-timbl,yes,Python,yes,success,2026-08-14T16:11:51Z,,ok
python-ucto,yes,Cython,yes,success,2026-08-14T16:43:58Z,,ok
pytorch,yes,Python,yes,success,2026-08-14T21:43:55Z,,ok
pytorch-frame,yes,Python,yes,success,2026-08-14T22:28:30Z,,ok
pytorch-image-models,yes,Python,yes,success,2026-08-14T16:30:29Z,,ok
pytorch-lightning,yes,Python,yes,success,2026-08-15T10:10:47Z,,ok
pytorch_geometric,yes,Python,yes,success,2026-08-14T22:27:43Z,,ok
pytorch_geometric_temporal,yes,Python,yes,success,2026-08-14T22:31:37Z,,ok
quepy,yes,Python,yes,success,2026-08-15T09:24:10Z,,ok
rasa,yes,Python,yes,success,2026-08-14T16:45:37Z,,ok
ray,yes,Python,yes,success,2026-08-14T16:19:19Z,,ok
recommenders,yes,Python,yes,success,2026-08-14T22:31:36Z,,ok
rep,yes,Python,yes,success,2026-08-14T16:26:21Z,,ok
retinaface,yes,Python,yes,success,2026-08-14T22:23:45Z,,ok
retro,yes,C,yes,success,2026-08-15T10:32:51Z,,ok
rexmex,yes,Python,yes,success,2026-08-14T16:21:55Z,,ok
rgf,yes,C++,yes,success,2026-08-14T22:14:02Z,,ok
river,yes,Python,yes,success,2026-08-14T22:29:15Z,,ok
rockpool,yes,Python,yes,success,2026-08-15T09:24:17Z,,ok
rosetta,yes,Python,yes,success,2026-08-14T22:31:18Z,,ok
scikit-image,yes,Python,yes,success,2026-08-14T22:19:37Z,,ok
scikit-learn,yes,Python,yes,success,2026-08-14T22:19:01Z,,ok
scikit-learn-intelex,yes,Python,yes,success,2026-08-14T22:13:57Z,,ok
scikit-multiflow,yes,Python,yes,success,2026-08-14T22:16:28Z,,ok
scikit-opt,yes,Python,yes,success,2026-08-14T16:11:10Z,,ok
scikit-plot,yes,Python,yes,success,2026-08-14T22:28:53Z,,ok
scikit-survival,yes,Python,yes,success,2026-08-14T22:18:19Z,,ok
seaborn,yes,Python,yes,success,2026-08-14T22:27:59Z,,ok
segmentation_models,yes,Python,yes,success,2026-08-14T22:18:33Z,,ok
segmentation_models.pytorch,yes,Python,yes,success,2026-08-14T22:31:36Z,,ok
sentiment-analyzer,yes,JavaScript,yes,success,2026-08-14T16:21:22Z,,ok
sentiment_classifier,yes,Gnuplot,yes,success,2026-08-14T22:32:46Z,,ok
sequitur,yes,Python,yes,success,2026-08-14T22:23:20Z,,ok
shapash,yes,Python,yes,success,2026-08-14T22:20:34Z,,ok
shapley,yes,Python,yes,success,2026-08-14T16:18:15Z,,ok
shogun,yes,C++,yes,success,2026-08-14T22:23:05Z,,ok
simpleai,yes,Python,yes,success,2026-08-14T22:14:16Z,,ok
sinabs,yes,Python,yes,success,2026-08-14T22:14:39Z,,ok
skbel,yes,Python,yes,success,2026-08-14T16:18:57Z,,ok
sklearn-bayes,yes,Python,yes,success,2026-08-14T22:18:56Z,,ok
skll,yes,Python,yes,success,2026-08-14T22:18:28Z,,ok
skorch,yes,Python,yes,success,2026-08-14T22:13:35Z,,ok
sktime,yes,Python,yes,success,2026-08-14T16:38:12Z,,ok
snips-nlu,yes,Python,yes,success,2026-08-14T16:54:10Z,,ok
snownlp,yes,Python,yes,success,2026-08-14T22:15:20Z,,ok
somoclu,yes,C,yes,success,2026-08-14T22:17:43Z,,ok
spaCy,yes,Python,yes,success,2026-08-15T10:43:43Z,,ok
spammy,yes,Python,yes,success,2026-08-14T22:23:46Z,,ok
sparklingpandas,yes,Python,yes,success,2026-08-14T22:31:25Z,,ok
stacked_generalization,yes,Python,yes,success,2026-08-14T22:21:10Z,,ok
stanford-corenlp-python,yes,Python,yes,success,2026-08-14T22:15:42Z,,ok
statsmodels,yes,Python,yes,success,2026-08-14T22:18:57Z,,ok
stellargraph,yes,Python,yes,success,2026-08-15T10:43:40Z,,ok
streamlit,yes,Python,yes,success,2026-08-14T16:15:07Z,,ok
suiron,yes,Python,yes,success,2026-08-14T22:24:27Z,,ok
superset,yes,Python,yes,success,2026-08-15T11:23:57Z,,ok
sympy,yes,Python,yes,success,2026-08-14T16:51:31Z,,ok
synthia,yes,Python,yes,success,2026-08-14T22:16:13Z,,ok
tensorflow,yes,C++,yes,success,2026-08-15T11:10:16Z,,ok
tensorwatch,yes,Python,yes,success,2026-08-14T22:29:24Z,,ok
textacy,yes,Python,yes,success,2026-08-15T09:01:55Z,,ok
tflearn,yes,Python,yes,success,2026-08-14T16:12:55Z,,ok
topicwizard,yes,Python,yes,success,2026-08-14T16:22:06Z,,ok
tpot,yes,Python,yes,success,2026-08-15T09:08:34Z,,ok
transformers,yes,Python,yes,success,2026-08-14T18:50:46Z,,ok
typer,yes,Python,yes,success,2026-08-15T10:54:13Z,,ok
upgini,yes,Python,yes,success,2026-08-14T22:31:37Z,,ok
vigra,yes,C++,yes,success,2026-08-14T16:24:50Z,,ok
vispy,yes,Python,yes,success,2026-08-14T22:21:59Z,,ok
visualize_ML,yes,Python,yes,success,2026-08-14T22:19:00Z,,ok
xcessiv,yes,Python,yes,success,2026-08-14T22:17:53Z,,ok
xgboost,yes,C++,yes,success,2026-08-14T22:15:59Z,,ok
xlearn,yes,C++,yes,success,2026-08-14T22:32:35Z,,ok
yalign,yes,Python,yes,success,2026-08-15T09:24:24Z,,ok
zipline,yes,Python,yes,success,2026-08-15T10:20:18Z,,ok
zpar,yes,C++,yes,success,2026-08-15T09:24:28Z,,ok
CompreFace,no,Java,n/a,n/a,,,"excluded: Java face-recognition service (Docker/React/Java stack); Python component is an internal microservice, not a pip-installable package or python-import usage"
CoreNLP,no,Java,n/a,n/a,,,"excluded: Java NLP toolkit (Stanford CoreNLP); python usage happens through separate wrapper packages, not this repo"
GreatCircle,no,PHP,n/a,n/a,,,"excluded: Multi-language sample repo (PHP/JS/Go/Ruby); Python is a negligible fraction (~1.6KB) of the tree, no real python codebase"
cortex,no,Go,n/a,n/a,,,"excluded: Go-based ML model serving platform (cortexlabs/cortex); consumed via Go CLI/YAML config, not python import"
lab,no,C,n/a,n/a,,,"excluded: DeepMind Lab; C/Lua game engine built via Bazel, no pip-installable python package"
langfuse,no,TypeScript,n/a,n/a,,,excluded: TypeScript/JavaScript observability platform; no meaningful python codebase in this repo
mist,no,Scala,n/a,n/a,,,"excluded: Scala/Spark job server; consumed via Scala/Spark job submission, not python import"
openpose,no,C++,n/a,n/a,,,"excluded: C++/CUDA computer vision engine (CMU OpenPose); no python-ecosystem package, consumed via compiled binaries/demos"
tdb,no,JavaScript,n/a,n/a,,,"excluded: TensorFlow Debugger; primarily a JavaScript/Jupyter visualization frontend, python role is thin glue only"
tesseract,no,C++,n/a,n/a,,,"excluded: C++ OCR engine; python usage happens through the separate pytesseract package, not this repo"
