repo,in_scope,top_language,semgrep_ran,semgrep_status,semgrep_date,semgrep_run_url,reason
somoclu,yes,Python,yes,success,2026-08-16T09:36:22Z,,ok
nn_builder,yes,Python,yes,success,2026-08-16T09:34:45Z,,ok
pattern,yes,Python,yes,success,2026-08-15T22:13:41Z,,ok
tensorwatch,yes,Python,yes,success,2026-08-16T09:36:44Z,,ok
hebel,yes,Python,yes,success,2026-08-15T22:19:48Z,,ok
notebook,yes,Python,yes,success,2026-08-15T22:19:49Z,,ok
visualize_ML,yes,Python,yes,success,2026-08-16T09:36:56Z,,ok
pyhsmm,yes,Python,yes,success,2026-08-15T22:18:11Z,,ok
GreatCircle,yes,Python,yes,success,2026-08-15T22:31:10Z,,ok
pyod,yes,Python,yes,success,2026-08-15T22:31:18Z,,ok
Metaworld,yes,Python,yes,success,2026-08-15T22:24:48Z,,ok
chefboost,yes,Python,yes,success,2026-08-16T09:32:38Z,,ok
dtaidistance,yes,Python,yes,success,2026-08-15T22:31:13Z,,ok
couler,yes,Python,yes,success,2026-08-16T09:32:50Z,,ok
distance,yes,Python,yes,success,2026-08-16T09:33:18Z,,ok
igel,yes,Python,yes,success,2026-08-15T22:15:40Z,,ok
bowtie,yes,Python,yes,success,2026-08-15T22:15:41Z,,ok
keras,yes,Python,yes,success,2026-08-15T22:31:02Z,,ok
determined,yes,Python,yes,success,2026-08-15T22:13:41Z,,ok
prodmodel,yes,Python,yes,success,2026-08-16T09:35:13Z,,ok
bokeh,yes,Python,yes,success,2026-08-15T22:19:28Z,,ok
PCV,yes,Python,yes,success,2026-08-16T09:35:03Z,,ok
PyTorchCV,yes,Python,yes,success,2026-08-16T09:35:36Z,,ok
comet-llm,yes,Python,yes,success,2026-08-16T09:32:47Z,,ok
metric-learn,yes,Python,yes,success,2026-08-16T09:34:16Z,,ok
sktime,yes,Python,yes,success,2026-08-15T22:20:57Z,,ok
bayeso,yes,Python,yes,success,2026-08-15T22:18:35Z,,ok
maze,yes,Python,yes,success,2026-08-15T22:23:09Z,,ok
nilearn,yes,Python,yes,success,2026-08-15T22:16:48Z,,ok
quepy,yes,Python,yes,success,2026-08-15T22:30:04Z,,ok
DeepPavlov,yes,Python,yes,success,2026-08-16T09:33:05Z,,ok
deepface,yes,Python,yes,success,2026-08-15T22:27:52Z,,ok
dl-translate,yes,Python,yes,success,2026-08-16T09:33:19Z,,ok
mist,yes,Python,yes,success,2026-08-16T09:34:24Z,,ok
garage,yes,Python,yes,success,2026-08-16T09:33:38Z,,ok
neuropredict,yes,Python,yes,success,2026-08-15T22:30:58Z,,ok
gradio,yes,Python,yes,success,2026-08-16T09:33:43Z,,ok
AutoViz,yes,Python,yes,success,2026-08-16T09:32:17Z,,ok
pybrain,yes,Python,yes,success,2026-08-16T09:35:14Z,,ok
skll,yes,Python,yes,success,2026-08-15T22:16:58Z,,ok
backprop,yes,Python,yes,success,2026-08-15T22:27:44Z,,ok
dash,yes,Python,yes,success,2026-08-16T09:32:56Z,,ok
keras-tuner,yes,Python,yes,success,2026-08-15T22:24:22Z,,ok
seaborn,yes,Python,yes,success,2026-08-16T09:36:02Z,,ok
climin,yes,Python,yes,success,2026-08-16T09:32:43Z,,ok
pastalog,yes,Python,yes,success,2026-08-16T09:35:01Z,,ok
typer,yes,Python,yes,success,2026-08-15T22:31:18Z,,ok
littleballoffur,yes,Python,yes,success,2026-08-15T22:22:59Z,,ok
lab,yes,Python,yes,success,2026-08-15T22:22:59Z,,ok
Petrel,yes,Python,yes,success,2026-08-16T09:35:05Z,,ok
haystack,yes,Python,yes,success,2026-08-16T09:33:44Z,,ok
Parris,yes,Python,yes,success,2026-08-16T09:34:59Z,,ok
rockpool,yes,Python,yes,success,2026-08-16T09:35:50Z,,ok
evostra,yes,Python,yes,success,2026-08-16T09:33:28Z,,ok
bigartm,yes,Python,yes,success,2026-08-16T09:32:21Z,,ok
deep-learning-project-template,yes,Python,yes,success,2026-08-16T09:33:00Z,,ok
loso,yes,Python,yes,success,2026-08-16T09:34:12Z,,ok
python-ucto,yes,Python,yes,success,2026-08-15T22:18:09Z,,ok
pgmpy,yes,Python,yes,success,2026-08-15T22:13:47Z,,ok
jieba,yes,Python,yes,success,2026-08-16T09:33:56Z,,ok
scikit-image,yes,Python,yes,success,2026-08-15T22:18:41Z,,ok
DIGITS,yes,Python,yes,success,2026-08-16T09:33:14Z,,ok
polyglot,yes,Python,yes,success,2026-08-16T09:35:11Z,,ok
xlearn,yes,Python,yes,success,2026-08-16T09:37:01Z,,ok
deap,yes,Python,yes,success,2026-08-16T09:32:58Z,,ok
annoy,yes,Python,yes,success,2026-08-16T09:32:15Z,,ok
rasa,yes,Python,yes,success,2026-08-16T09:35:38Z,,ok
bqplot,yes,Python,yes,success,2026-08-15T22:21:01Z,,ok
sklearn-bayes,yes,Python,yes,success,2026-08-16T09:36:18Z,,ok
Gymnasium,yes,Python,yes,success,2026-08-15T22:26:20Z,,ok
catalyst,yes,Python,yes,success,2026-08-16T09:32:32Z,,ok
blaze,yes,Python,yes,success,2026-08-15T22:16:58Z,,ok
pydexter,yes,Python,yes,success,2026-08-16T09:35:18Z,,ok
karateclub,yes,Python,yes,success,2026-08-15T22:27:46Z,,ok
PySyft,yes,Python,yes,success,2026-08-15T22:31:00Z,,ok
tensorflow,yes,Python,yes,success,2026-08-15T22:30:04Z,,ok
d3py,yes,Python,yes,success,2026-08-16T09:32:52Z,,ok
scikit-multiflow,yes,Python,yes,success,2026-08-16T09:35:54Z,,ok
Spearmint,yes,Python,yes,success,2026-08-16T09:36:30Z,,ok
cltk,yes,Python,yes,success,2026-08-15T22:29:19Z,,ok
machine-learning,yes,Python,yes,success,2026-08-15T22:27:41Z,,ok
nalp,yes,Python,yes,success,2026-08-15T22:30:55Z,,ok
pymc,yes,Python,yes,success,2026-08-15T22:29:22Z,,ok
IoT-Owl,yes,Python,yes,success,2026-08-16T09:33:54Z,,ok
recommenders,yes,Python,yes,success,2026-08-15T22:30:05Z,,ok
ggpy,yes,Python,yes,success,2026-08-16T09:33:41Z,,ok
pkuseg-python,yes,Python,yes,success,2026-08-16T09:35:09Z,,ok
featureforge,yes,Python,yes,success,2026-08-16T09:33:34Z,,ok
rosetta,yes,Python,yes,success,2026-08-16T09:35:52Z,,ok
evidently,yes,Python,yes,success,2026-08-15T22:30:54Z,,ok
bolt,yes,Python,yes,success,2026-08-16T09:32:24Z,,ok
gym,yes,Python,yes,success,2026-08-15T22:31:00Z,,ok
BioPy,yes,Python,yes,success,2026-08-16T09:32:22Z,,ok
Neural,yes,Python,yes,success,2026-08-16T09:34:34Z,,ok
lime,yes,Python,yes,success,2026-08-16T09:34:10Z,,ok
opfython,yes,Python,yes,success,2026-08-15T22:27:52Z,,ok
pyss3,yes,Python,yes,success,2026-08-16T09:35:25Z,,ok
pycm,yes,Python,yes,success,2026-08-16T09:35:16Z,,ok
sympy,yes,Python,yes,success,2026-08-15T22:24:45Z,,ok
neural-style-pt,yes,Python,yes,success,2026-08-16T09:34:36Z,,ok
PyStanfordDependencies,yes,Python,yes,success,2026-08-16T09:35:27Z,,ok
paramonte,yes,Python,yes,success,2026-08-16T09:34:56Z,,ok
textacy,yes,Python,yes,success,2026-08-16T09:36:48Z,,ok
hdbscan,yes,Python,yes,success,2026-08-16T09:33:47Z,,ok
vispy,yes,Python,yes,success,2026-08-15T22:20:13Z,,ok
fastapi,yes,Python,yes,success,2026-08-15T22:22:58Z,,ok
mlens,yes,Python,yes,success,2026-08-16T09:34:26Z,,ok
NeuroNER,yes,Python,yes,success,2026-08-16T09:34:43Z,,ok
modAL,yes,Python,yes,success,2026-08-16T09:34:30Z,,ok
lambdo,yes,Python,yes,success,2026-08-16T09:34:00Z,,ok
yalign,yes,Python,yes,success,2026-08-16T09:37:03Z,,ok
numpy,yes,Python,yes,success,2026-08-15T22:26:34Z,,ok
pydantic,yes,Python,yes,success,2026-08-15T22:14:28Z,,ok
snips-nlu,yes,Python,yes,success,2026-08-15T22:31:01Z,,ok
lucent,yes,Python,yes,success,2026-08-16T09:34:14Z,,ok
mars,yes,Python,yes,success,2026-08-15T22:27:43Z,,ok
scikit-survival,yes,Python,yes,success,2026-08-16T09:36:00Z,,ok
transformers,yes,Python,yes,success,2026-08-15T22:18:41Z,,ok
datacompy,yes,Python,yes,success,2026-08-15T22:18:08Z,,ok
numpy-ml,yes,Python,yes,success,2026-08-16T09:34:46Z,,ok
python-recsys,yes,Python,yes,success,2026-08-15T22:30:57Z,,ok
Pyevolve,yes,Python,yes,success,2026-08-16T09:35:20Z,,ok
lightning-bolts,yes,Python,yes,success,2026-08-16T09:34:08Z,,ok
learnergy,yes,Python,yes,success,2026-08-15T22:18:20Z,,ok
DrQA,yes,Python,yes,success,2026-08-16T09:33:26Z,,ok
CoreNLP,yes,Python,yes,success,2026-08-15T22:13:50Z,,ok
zpar,yes,Python,yes,success,2026-08-15T22:29:22Z,,ok
python-neuron,yes,Python,yes,success,2026-08-15T22:21:48Z,,ok
sentiment_classifier,yes,Python,yes,success,2026-08-16T09:36:05Z,,ok
opytimizer,yes,Python,yes,success,2026-08-15T22:18:10Z,,ok
open-metric-learning,yes,Python,yes,success,2026-08-16T09:34:52Z,,ok
chemicalx,yes,Python,yes,success,2026-08-16T09:32:40Z,,ok
dora,yes,Python,yes,success,2026-08-16T09:33:22Z,,ok
tpot,yes,Python,yes,success,2026-08-16T09:36:52Z,,ok
sinabs,yes,Python,yes,success,2026-08-16T09:36:17Z,,ok
ColossalAI,yes,Python,yes,success,2026-08-16T09:32:45Z,,ok
imutils,yes,Python,yes,success,2026-08-16T09:33:52Z,,ok
superset,yes,Python,yes,success,2026-08-15T22:13:45Z,,ok
TResNet,yes,Python,yes,success,2026-08-16T09:36:54Z,,ok
hyperopt-sklearn,yes,Python,yes,success,2026-08-16T09:33:49Z,,ok
spammy,yes,Python,yes,success,2026-08-16T09:36:26Z,,ok
breze,yes,Python,yes,success,2026-08-16T09:32:26Z,,ok
litellm,yes,Python,yes,success,2026-08-15T22:18:34Z,,ok
langflow,yes,Python,yes,success,2026-08-15T22:31:18Z,,ok
langfuse,yes,Python,yes,success,2026-08-15T22:13:46Z,,ok
open-webui,yes,Python,yes,success,2026-08-15T22:12:13Z,,ok
danswerai,yes,Python,yes,success,2026-08-16T09:32:54Z,,ok
