,type,id,description,Unnamed: 0,cwe_counts,libraries,repos
20,base,117,Improper Output Neutralization for Logs,2741,744,"aiohttp, flask, gitpython, gradio, gunicorn, ipython, jupyterlab, litestar, lxml-html-clean, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, tornado, transformers, ujson, uv, werkzeug","aim, alibi, alibi-detect, altair, annoy, auto_viml, autoviz, backprop, bigartm, blaze, bokeh, bowtie, breze, bytehub, catalyst, catboost, chainer, cleanlab, cltk, colossalai, compreface, cornac, cortex, couler, danswerai, dash, deepface, deeppavlov, deeppy, determined, di-engine, digits, evidently, fastapi, feast, fedot, gan, ggpy, gradio, igel, imbalanced-ensemble, lambdo, langflow, lifelines, lightly, lightwood, machine-learning, mars, matplotlib, metric-learn, mindsdb, mist, mlflow, nalp, neuroner, nn_builder, notebook, numpy, nupic.studio, open-webui, pattern, pebl, pix2pix-keras, pybrain, pydantic, pyod, pyqtgraph, pysyft, pytensor, python-timbl, pytorch, pytorchcv, rasa, ray, recommenders, retro, rgf, rockpool, scikit-image, scikit-multiflow, seaborn, segmentation_models, snips-nlu, spammy, statsmodels, stellargraph, streamlit, superset, tensorflow, tpot, transformers, vigra, vizdoom, xlearn, zipline, zpar"
21,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),4974,1768,"aiohttp, cryptography, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, msgpack, oauthlib, onnx, opencv-python, pillow, pip, protobuf, pyarrow, python-multipart, pyyaml, sentencepiece, starlette, tensorflow, tensorflow-gpu, torch, transformers, ujson, uv, werkzeug","aim, alibi, altair, auto_viml, autogluon, autoviz, backprop, blaze, bokeh, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, joligen, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorch-frame, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, streamlit, superset, tpot, transformers, vizdoom, zipline"
22,base,123,Write-what-where Condition,1826,1012,"aiohttp, cryptography, jinja2, msgpack, numpy, opencv-python, pillow, protobuf, psutil, pyarrow, pyopenssl, sentencepiece, tensorflow, tensorflow-gpu, torch, ujson, werkzeug","aim, alibi, altair, autogluon, backprop, blaze, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, determined, evidently, fastapi, feast, gradio, igel, joligen, lightwood, matplotlib, mindsdb, mlflow, neuroner, nn_builder, open-webui, pix2pix-keras, pytorch-frame, pytorch-lightning, ray, scikit-multiflow, skbel, tpot, zipline"
23,base,124,Buffer Underwrite ('Buffer Underflow'),265,305,"opencv-python, pillow, tensorflow, tensorflow-gpu, ujson, werkzeug","aim, alibi, altair, colossalai, compreface, cornac, evidently, fastapi, feast, igel, lightwood, matplotlib, mindsdb, mlflow, neuroner, nn_builder, open-webui, ray, skbel, zipline"
24,base,125,Out-of-bounds Read,1781,1019,"cryptography, protobuf, sentencepiece, tensorflow, tensorflow-gpu, torch, tornado","aim, altair, autogluon, backprop, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, gradio, igel, joligen, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, skbel, tpot, zipline"
25,base,128,Wrap-around Error,295,535,"cryptography, pillow, protobuf, sentencepiece, tensorflow, tensorflow-cpu, tensorflow-gpu, torch, ujson","aim, alibi, altair, autogluon, backprop, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, evidently, fastapi, feast, gradio, igel, joligen, lightwood, matplotlib, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, skbel, tpot, zipline"
26,base,130,Improper Handling of Length Parameter Inconsistency,1311,462,"cryptography, protobuf, sentencepiece, tensorflow, tensorflow-gpu, torch","aim, autogluon, backprop, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, gradio, igel, joligen, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, tpot"
27,base,131,Incorrect Calculation of Buffer Size,328,263,"cryptography, protobuf, sentencepiece, tensorflow, tensorflow-gpu, torch","aim, autogluon, backprop, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, gradio, igel, joligen, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, tpot"
28,base,134,Use of Externally-Controlled Format String,3000,575,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, transformers, vizdoom, zipline"
29,base,135,Incorrect Calculation of Multi-Byte String Length,3,8,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
30,base,166,Improper Handling of Missing Special Element,1,4,tornado,"mlflow, ray, zipline"
31,base,167,Improper Handling of Additional Special Element,2,4,tornado,"mlflow, ray, zipline"
32,base,168,Improper Handling of Inconsistent Special Elements,3,4,tornado,"mlflow, ray, zipline"
33,base,170,Improper Null Termination,3090,672,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, numpy, oauthlib, onnx, pillow, pip, pyopenssl, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, tornado, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, scikit-multiflow, skbel, spammy, streamlit, superset, transformers, vizdoom, zipline"
34,base,178,Improper Handling of Case Sensitivity,21,27,starlette,"altair, danswerai, fastapi, igel, mindsdb, mlflow, ray"
35,base,179,Incorrect Behavior Order: Early Validation,78,564,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, seaborn, spammy, streamlit, superset, transformers, vizdoom, zipline"
36,base,182,Collapse of Data into Unsafe Value,6,4,litestar,"evidently, superset, transformers"
37,base,183,Permissive List of Allowed Inputs,46,119,"gradio, jupyter-server, lightning, litestar, mlflow, nltk, numpy, pip, pygments, pytorch-lightning, setuptools, tensorflow, tensorflow-gpu","aim, autogluon, blaze, cltk, colossalai, compreface, cornac, cortex, determined, evidently, face_recognition, feast, gensim, igel, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pix2pix-keras, pytorch, pytorch-lightning, ray, retro, scikit-multiflow, skbel, superset, tensorflow, zipline"
38,base,184,Incomplete List of Disallowed Inputs,420,554,"aim, bleach, dulwich, dynaconf, fugue, gitpython, gradio, ipython, jinja2, jupyter-server, jupyterlab, lightning, litestar, lxml, lxml-html-clean, mistune, mlflow, nltk, notebook, onnx, pillow, pip, pygments, pytorch-lightning, tensorflow, tensorflow-gpu, tornado, virtualenv","aim, alibi, altair, bentoml, bigartm, blaze, bokeh, bowtie, catalyst, catboost, cleanlab, cltk, colibri-core, colossalai, compreface, cornac, cortex, danswerai, dash, deepface, deeplake, deeppy, detectron2, determined, di-engine, digits, evidently, face_recognition, fastapi, feast, fedot, gensim, gradio, igel, jax, langflow, lightwood, loso, machine-learning, mars, matplotlib, mindsdb, mist, mlens, mlflow, neuraltalk, neuroner, nilearn, nn_builder, numpy, open-metric-learning, open-webui, pomegranate, pydantic, pynlpl, pyqtgraph, pystanforddependencies, pytorch, pytorch-image-models, pytorch-lightning, pytorchcv, rasa, ray, rep, retro, scikit-image, scikit-learn-intelex, seaborn, shogun, skbel, skll, spearmint, statsmodels, streamlit, superset, tensorflow, transformers, typer, vizdoom, xgboost, zipline"
39,base,186,Overly Restrictive Regular Expression,2,4,litestar,"evidently, superset, transformers"
40,base,190,Integer Overflow or Wraparound,3426,810,"aiohttp, cryptography, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, protobuf, python-multipart, pyyaml, sentencepiece, starlette, tensorflow, tensorflow-gpu, torch, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autogluon, autoviz, backprop, blaze, bokeh, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, joligen, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorch-frame, pytorch-lightning, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, tpot, transformers, vizdoom, zipline"
41,base,191,Integer Underflow (Wrap or Wraparound),23,16,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
42,base,193,Off-by-one Error,390,746,"cryptography, protobuf, sentencepiece, tensorflow, tensorflow-gpu, torch","aim, autogluon, backprop, chemicalx, cleanlab, cltk, colossalai, compreface, cornac, cortex, determined, gradio, igel, joligen, lightwood, mindsdb, mlflow, neuroner, nn_builder, open-webui, pytorch-frame, pytorch-lightning, ray, tpot"
43,base,197,Numeric Truncation Error,280,120,"tensorflow, tensorflow-gpu","compreface, cornac, igel, neuroner, nn_builder"
