,type,id,description,cwe_counts,libraries,repos
31,base,184,Incomplete List of Disallowed Inputs,214,"aim, aiohttp, apache-airflow, bleach, celery, gitpython, gradio, ipython, jinja2, jupyter-server, jupyterlab, lightning, lxml, mlflow, nbconvert, notebook, pygments, ray, readthedocs-sphinx-search, tensorflow","blaze, catalyst, cleanlab, cltk, colossalai, compreface, cornac, couler, deepface, determined, dl-translate, evidently, feast, gradio, igel, joligen, lasagne, lightwood, litellm, machine-learning, maze, mindsdb, minigrad, mlflow, neuroner, nn_builder, pomegranate, pytorch, pytorch-lightning, pytorchcv, rasa, ray, rep, river, scikit-learn-intelex, sinabs, skbel, statsmodels, stellargraph, superset, transformers, zipline"
32,base,186,Overly Restrictive Regular Expression,2,,catboost
33,base,190,Integer Overflow or Wraparound,620,"aiohttp, apache-airflow, flask, gitpython, gradio, ipython, litellm, mlflow, oauthlib, pillow, pip, protobuf, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, bigartm, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, deeplake, digits, evidently, gradio, igel, lightly, matplotlib, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, nupic.studio, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, transformers, typer, vizdoom, zipline"
34,base,191,Integer Underflow (Wrap or Wraparound),14,tensorflow,"compreface, cornac, igel, neuroner, nn_builder"
35,base,193,Off-by-one Error,545,"grpcio, protobuf, tensorflow","aim, bigartm, compreface, cornac, digits, igel, mlflow, neuroner, nn_builder, ray, tensorflow"
36,base,197,Numeric Truncation Error,99,tensorflow,"compreface, cornac, igel, neuroner, nn_builder"
37,base,201,Insertion of Sensitive Information Into Sent Data,129,"apache-airflow, flask-appbuilder, gradio, jupyterlab, mlflow, ray, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, bokeh, catboost, cleanlab, colossalai, compreface, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, lightgbm, lightly, mindsdb, minigrad, mlflow, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
38,base,203,Observable Discrepancy,264,"apache-airflow, cryptography, ecdsa, flask-appbuilder, gradio, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, bokeh, catboost, cleanlab, colossalai, compreface, cortex, detectron2, determined, evidently, face_recognition, feast, gan, gradio, igel, lightgbm, lightly, minigrad, mlflow, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
39,base,204,Observable Response Discrepancy,15,"cryptography, ecdsa, flask-appbuilder, gradio","colossalai, face_recognition, igel, rasa, ray, superset"
40,base,205,Observable Behavioral Discrepancy,15,"cryptography, ecdsa, flask-appbuilder, gradio","colossalai, face_recognition, igel, rasa, ray, superset"
41,base,208,Observable Timing Discrepancy,44,"cryptography, ecdsa, flask-appbuilder, gradio, python-jose","catboost, colossalai, couler, determined, face_recognition, igel, litellm, mindsdb, open-webui, rasa, ray, streamlit, superset"
42,base,209,Generation of Error Message Containing Sensitive Information,262,"apache-airflow, flask-appbuilder, gradio, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, tensorflow, urllib3","aim, bentoml, bokeh, catboost, cleanlab, colossalai, compreface, cornac, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, lightgbm, lightly, minigrad, mlflow, neuroner, nn_builder, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
43,base,210,Self-generated Error Message Containing Sensitive Information,81,"flask-appbuilder, jupyter-server","blaze, catboost, colossalai, danswerai, deepface, digits, evidently, joligen, litellm, machine-learning, mindsdb, open-webui, pytorch, ray, superset"
44,base,211,Externally-Generated Error Message Containing Sensitive Information,81,"flask-appbuilder, jupyter-server","blaze, catboost, colossalai, danswerai, deepface, digits, evidently, joligen, litellm, machine-learning, mindsdb, open-webui, pytorch, ray, superset"
45,base,212,Improper Removal of Sensitive Information Before Storage or Transfer,71,"apache-airflow, urllib3","cltk, compreface, evidently, feast, gradio, igel, lightly, lightwood, minigrad, mlflow, pytorch, rasa, ray, river, scikit-learn-intelex, sinabs, skbel, tensorflow, transformers, zipline"
46,base,213,Exposure of Sensitive Information Due to Incompatible Policies,125,"apache-airflow, flask-appbuilder, gradio, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, bokeh, catboost, cleanlab, colossalai, compreface, cortex, detectron2, determined, evidently, feast, gan, gradio, igel, lightgbm, lightly, minigrad, mlflow, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, zipline"
47,base,214,Invocation of Process Using Visible Sensitive Information,78,,"blaze, catboost, colossalai, danswerai, deepface, digits, evidently, joligen, litellm, machine-learning, mindsdb, open-webui, pytorch, ray, superset"
48,base,215,Insertion of Sensitive Information Into Debugging Code,133,"apache-airflow, flask-appbuilder, gradio, jupyterlab, mlflow, requests, restrictedpython, sentry-sdk, urllib3","aim, bentoml, bokeh, caffe, catboost, cleanlab, colossalai, compreface, cortex, detectron2, determined, evidently, face_recognition, feast, gan, gradio, igel, lightgbm, lightly, mindsdb, minigrad, mlflow, pyss3, pytorch, pytorch-lightning, pytorch_geometric, rasa, ray, rep, sinabs, skbel, spacy, superset, xcessiv, zipline"
49,base,226,Sensitive Information in Resource Not Removed Before Reuse,3,"apache-airflow, redis","evidently, ray"
